CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography
636,48.0,3,120568.41,1,1.0,0.0,190160.04,Germany
648,34.0,3,0.0,1,1.0,0.0,54726.43,France
568,51.0,4,0.0,3,1.0,1.0,66586.56,France
682,38.0,1,116520.28,1,1.0,1.0,49833.5,Germany
719,37.0,9,101455.7,1,1.0,0.0,25803.59,France
695,35.0,7,0.0,2,1.0,0.0,160387.98,Spain
685,39.0,9,0.0,2,1.0,1.0,18826.06,Spain
850,38.0,1,0.0,2,1.0,1.0,80006.65,France
667,38.0,1,87202.38,1,1.0,1.0,77866.91,Spain
759,33.0,2,0.0,2,1.0,0.0,56583.88,France
749,22.0,4,94762.16,2,1.0,1.0,42241.54,Germany
820,29.0,3,82344.84,1,0.0,1.0,115985.38,France
684,39.0,4,139723.9,1,1.0,1.0,120612.11,Spain
490,40.0,6,156111.08,1,0.0,0.0,190889.13,Spain
609,38.0,6,140752.06,2,0.0,1.0,171430.16,Germany
505,26.0,8,112972.57,1,1.0,0.0,145011.62,France
717,33.0,0,115777.23,1,1.0,1.0,81508.1,Germany
607,24.0,2,109483.54,2,0.0,1.0,127560.77,Germany
524,28.0,1,93577.3,1,1.0,1.0,51670.82,France
702,37.0,10,150525.8,1,1.0,1.0,94728.49,France
585,39.0,7,165610.41,2,0.0,0.0,131852.01,Germany
476,37.0,4,0.0,1,1.0,1.0,55775.84,France
644,18.0,8,0.0,2,1.0,0.0,59172.42,Spain
655,44.0,6,146498.76,1,1.0,0.0,64853.51,Germany
545,26.0,1,0.0,2,1.0,1.0,199638.56,France
832,29.0,8,93833.86,1,0.0,1.0,10417.87,Spain
667,28.0,6,165798.1,1,1.0,0.0,147090.9,France
653,35.0,6,116662.96,2,1.0,1.0,23864.21,Spain
637,46.0,2,143500.82,1,1.0,0.0,166996.46,Germany
521,35.0,6,96423.84,1,1.0,0.0,10488.44,France
730,35.0,0,155470.55,1,1.0,1.0,53718.28,France
562,31.0,9,117153.0,1,1.0,1.0,108675.01,Germany
603,39.0,9,76769.68,1,0.0,0.0,48224.72,France
506,36.0,5,0.0,2,1.0,0.0,164253.35,France
762,35.0,3,119349.69,3,1.0,1.0,47114.18,Spain
824,38.0,3,0.0,2,1.0,0.0,192800.25,Spain
607,32.0,7,0.0,3,0.0,1.0,10674.62,Spain
585,39.0,7,0.0,2,1.0,0.0,2401.26,France
713,42.0,3,0.0,2,0.0,0.0,82565.01,France
594,36.0,6,153880.15,1,0.0,0.0,135431.72,France
542,37.0,8,0.0,1,1.0,1.0,807.06,Spain
674,36.0,2,154525.7,1,0.0,1.0,27468.72,France
773,51.0,8,116197.65,2,1.0,1.0,86701.4,Germany
506,32.0,3,0.0,1,1.0,1.0,80823.02,France
725,41.0,7,113980.21,1,1.0,1.0,116704.25,France
531,70.0,1,0.0,2,0.0,0.0,99503.19,Spain
715,38.0,5,118590.41,1,1.0,1.0,5684.17,France
782,41.0,4,0.0,1,1.0,0.0,132943.88,Spain
583,38.0,10,0.0,2,0.0,1.0,113597.64,France
741,25.0,4,0.0,2,1.0,1.0,73873.65,Spain
546,74.0,8,114888.74,2,1.0,1.0,66732.63,Germany
773,33.0,9,0.0,2,1.0,1.0,1118.31,France
762,36.0,5,119547.46,1,1.0,1.0,42693.65,France
652,26.0,3,137998.2,2,0.0,1.0,168989.77,France
797,32.0,10,114084.6,1,0.0,1.0,125782.29,France
723,49.0,4,0.0,2,0.0,1.0,89972.25,France
684,29.0,8,127269.75,1,0.0,1.0,79495.01,Germany
478,32.0,6,71187.24,1,1.0,1.0,110593.62,France
850,55.0,7,0.0,1,0.0,0.0,171762.87,Spain
521,52.0,5,116497.31,3,0.0,0.0,53793.1,Germany
588,41.0,6,106116.56,2,1.0,0.0,198766.61,Germany
492,28.0,9,0.0,2,1.0,0.0,95957.09,France
533,38.0,4,70362.52,2,1.0,1.0,104189.46,Germany
732,67.0,1,0.0,2,1.0,1.0,177783.04,Spain
609,43.0,6,86053.52,2,1.0,1.0,113276.46,Spain
709,32.0,4,147307.91,1,0.0,1.0,40861.55,France
743,32.0,9,0.0,2,1.0,0.0,175252.78,France
630,39.0,10,105473.74,1,0.0,0.0,58854.88,Spain
594,29.0,3,130830.22,1,1.0,0.0,61048.53,Germany
594,31.0,9,0.0,1,0.0,1.0,5719.11,France
660,23.0,6,166070.48,2,0.0,0.0,90494.72,Germany
733,30.0,1,102452.71,1,1.0,0.0,21556.95,Germany
586,33.0,7,0.0,2,1.0,1.0,168261.4,Spain
760,41.0,6,0.0,2,0.0,0.0,101491.23,Spain
599,25.0,3,0.0,2,1.0,1.0,120790.02,Spain
671,45.0,2,106376.85,1,0.0,1.0,158264.62,France
624,36.0,6,0.0,2,0.0,0.0,84635.64,France
694,38.0,5,195926.39,1,1.0,1.0,85522.84,France
620,29.0,1,138740.24,2,0.0,0.0,154700.61,France
643,33.0,4,0.0,2,1.0,1.0,152992.04,France
667,36.0,8,139753.35,1,1.0,0.0,79871.16,France
758,40.0,5,93499.82,2,0.0,0.0,123218.81,Spain
754,39.0,8,129401.87,1,1.0,1.0,87684.93,Germany
649,33.0,2,0.0,2,1.0,0.0,2010.98,France
554,26.0,4,121365.39,1,1.0,1.0,8742.36,Germany
665,25.0,7,90920.75,1,0.0,1.0,112256.57,France
628,25.0,7,0.0,2,1.0,1.0,195977.75,France
567,41.0,9,137891.35,1,1.0,0.0,142009.46,France
531,42.0,6,88324.31,2,1.0,0.0,75248.75,Germany
681,46.0,0,105969.42,1,1.0,0.0,5771.56,France
707,34.0,9,162691.16,2,1.0,0.0,94912.78,Germany
672,43.0,5,0.0,1,0.0,0.0,63833.09,France
562,31.0,2,112708.2,1,0.0,1.0,186370.3,Germany
642,25.0,7,0.0,2,1.0,0.0,102083.78,France
721,37.0,1,0.0,2,1.0,0.0,70810.8,France
750,38.0,1,0.0,2,1.0,0.0,47764.99,France
652,42.0,3,83492.07,2,1.0,0.0,37914.12,Spain
778,41.0,7,139706.31,1,1.0,0.0,63337.19,Germany
674,27.0,4,111568.01,1,0.0,1.0,22026.18,Germany
705,33.0,3,144427.96,2,1.0,0.0,113845.19,France
542,25.0,8,139330.1,1,0.0,0.0,54372.37,Germany
484,54.0,3,134388.11,1,0.0,0.0,49954.79,Germany
659,32.0,3,107594.11,2,1.0,1.0,102416.84,Spain
701,41.0,9,164046.1,1,1.0,0.0,49405.93,Germany
632,60.0,2,0.0,2,0.0,1.0,2085.32,France
726,30.0,5,111375.32,2,1.0,0.0,2704.09,Germany
457,44.0,7,0.0,2,0.0,0.0,185992.36,Spain
727,35.0,5,136364.46,1,0.0,0.0,142754.71,France
689,38.0,6,121021.05,1,1.0,1.0,12182.15,Spain
690,38.0,1,94456.0,2,0.0,1.0,55034.02,France
520,45.0,7,107023.03,1,1.0,0.0,32903.93,Spain
757,34.0,9,101861.36,2,0.0,0.0,187011.96,Germany
783,44.0,3,81811.71,1,1.0,0.0,164213.53,Spain
579,31.0,6,0.0,2,1.0,0.0,26149.25,France
644,37.0,8,0.0,2,1.0,0.0,20968.88,France
479,48.0,5,87070.23,1,0.0,1.0,85646.41,Spain
656,43.0,7,134919.85,1,1.0,0.0,194691.95,France
731,33.0,1,0.0,1,1.0,0.0,130726.96,Spain
784,38.0,10,122267.85,1,0.0,0.0,145759.93,Spain
677,56.0,0,119963.45,1,0.0,0.0,158325.87,France
841,36.0,5,156021.31,1,0.0,0.0,122662.98,France
670,33.0,6,88294.6,1,1.0,0.0,66979.06,France
491,57.0,4,112044.72,1,1.0,1.0,41229.73,Germany
469,48.0,5,0.0,1,1.0,0.0,160529.71,France
777,32.0,2,0.0,1,1.0,0.0,136458.19,France
635,50.0,7,159453.64,2,0.0,0.0,54560.79,Spain
526,35.0,9,118536.4,1,1.0,0.0,40980.87,Germany
641,77.0,9,0.0,3,1.0,1.0,81514.06,France
708,41.0,5,0.0,1,0.0,1.0,157003.99,Spain
519,39.0,1,97700.02,1,1.0,1.0,30709.03,France
774,35.0,3,121418.62,1,1.0,1.0,24400.37,France
641,41.0,6,0.0,2,1.0,0.0,65396.79,France
680,42.0,0,0.0,1,1.0,0.0,136377.21,Spain
530,29.0,5,0.0,2,0.0,0.0,121451.21,France
731,41.0,4,0.0,2,1.0,0.0,22299.27,Spain
697,30.0,1,0.0,2,0.0,0.0,735.79,Spain
741,50.0,1,78737.61,1,1.0,1.0,13018.96,Spain
744,47.0,9,0.0,2,1.0,0.0,113163.17,France
712,24.0,2,0.0,1,0.0,1.0,121232.51,France
554,55.0,0,108477.27,1,0.0,1.0,140003.0,Germany
490,39.0,1,0.0,3,1.0,0.0,171060.01,France
740,51.0,4,0.0,2,1.0,1.0,178929.84,France
473,40.0,8,152576.25,2,1.0,0.0,73073.68,Germany
662,29.0,10,0.0,2,1.0,0.0,137508.31,France
460,46.0,4,127559.97,2,1.0,1.0,126952.5,Germany
850,47.0,6,0.0,1,1.0,0.0,187391.02,France
616,31.0,3,94263.91,2,1.0,0.0,168895.06,France
543,32.0,7,147256.86,1,1.0,0.0,112771.95,France
518,40.0,4,0.0,2,0.0,1.0,194416.58,France
813,29.0,5,106059.4,1,0.0,0.0,187976.88,Germany
695,36.0,6,114007.5,2,1.0,0.0,118120.88,France
648,33.0,5,138664.24,1,1.0,0.0,29076.27,Germany
656,34.0,6,59877.33,1,1.0,0.0,14032.62,Spain
686,47.0,6,0.0,1,1.0,0.0,32080.69,Spain
727,57.0,1,109679.72,1,0.0,1.0,753.37,Spain
736,43.0,4,202443.47,1,1.0,0.0,72375.03,France
746,35.0,2,172274.01,1,1.0,0.0,22374.97,France
767,77.0,8,149083.7,1,1.0,1.0,190146.83,Spain
751,28.0,10,132932.14,2,1.0,1.0,46630.47,Germany
850,55.0,0,98710.89,1,1.0,1.0,83617.17,Germany
850,41.0,3,136416.82,1,0.0,1.0,57844.26,France
562,31.0,4,127237.25,2,0.0,1.0,143317.42,Germany
717,49.0,1,110864.38,2,1.0,1.0,124532.9,Spain
480,44.0,10,129608.57,1,1.0,0.0,5472.7,Germany
850,40.0,9,99816.46,1,1.0,1.0,163989.66,France
716,52.0,7,65971.61,2,1.0,0.0,14608.0,France
749,54.0,3,144768.94,1,1.0,0.0,93336.3,Germany
593,46.0,2,76597.79,1,1.0,1.0,54453.72,Spain
646,40.0,5,93680.43,2,1.0,1.0,179473.26,France
583,39.0,8,102945.01,1,0.0,0.0,52861.89,Germany
670,37.0,0,178742.71,1,1.0,1.0,194493.57,Spain
574,28.0,7,0.0,2,0.0,0.0,185660.3,Spain
620,22.0,0,0.0,1,1.0,0.0,32589.45,France
737,39.0,7,130051.66,2,0.0,0.0,55356.39,Spain
499,44.0,6,77627.33,2,1.0,0.0,108222.68,Germany
635,33.0,5,0.0,2,1.0,0.0,122949.71,France
418,46.0,9,0.0,1,1.0,1.0,81014.5,France
666,40.0,2,0.0,2,0.0,0.0,36371.27,France
688,26.0,0,0.0,2,1.0,0.0,105784.85,France
690,43.0,2,166522.78,1,0.0,0.0,119644.59,Germany
633,30.0,6,0.0,2,0.0,0.0,41642.29,France
