CustomerID,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashBackAmount,Churn
50092,14,Mobile Phone,3,22,Credit Card,Female,2,3,Laptop & Accessory,2,Married,1,1,14,2,5,0,183.65,0
50093,17,Mobile Phone,3,12,E Wallet,Female,2,3,Laptop & Accessory,1,Single,7,0,16,4,8,11,203.74,0
50094,9,Computer,2,15,Credit Card,Male,5,1,Others,1,Divorced,1,1,14,2,4,10,131.93,1
50095,17,Computer,2,10,UPI,Male,2,1,Laptop & Accessory,1,Divorced,5,0,14,1,2,17,168.72,0
50096,8,Mobile Phone,2,11,E Wallet,Male,3,3,Fashion,3,Single,6,1,20,1,5,2,142.88,1
50097,8,Computer,2,7,E Wallet,Male,2,2,Laptop & Accessory,3,Divorced,3,0,26,0,2,6,135.17,0
50098,6,Computer,2,14,UPI,Male,3,4,Laptop & Accessory,3,Married,2,1,13,0,4,1,157.5,0
50099,0,Mobile Phone,3,17,Debit Card,Male,2,5,Laptop & Accessory,3,Married,3,0,18,0,1,10,131.66,0
50100,1,Mobile Phone,1,31,E Wallet,Female,3,2,Laptop & Accessory,2,Single,3,0,21,2,4,1,154.21,0
50101,0,Phone,3,11,E Wallet,Female,3,4,Laptop & Accessory,5,Single,8,0,20,3,5,4,130.53,0
50102,12,Computer,1,16,UPI,Male,4,3,Laptop & Accessory,2,Single,2,1,26,1,4,13,150.08,1
50103,4,Phone,1,14,Credit Card,Female,3,3,Fashion,4,Married,3,0,11,2,4,3,148.33,0
50104,8,Mobile Phone,1,18,Credit Card,Female,4,3,Laptop & Accessory,4,Married,3,0,11,4,6,13,168.19,1
50105,28,Computer,2,13,Debit Card,Male,2,4,Laptop & Accessory,3,Single,1,1,26,1,5,8,200.15,1
50106,3,Mobile Phone,1,19,UPI,Male,4,5,Laptop & Accessory,3,Married,5,0,22,5,8,5,140.2,1
50107,6,Mobile Phone,3,10,Credit Card,Female,5,3,Fashion,4,Married,2,0,12,3,6,17,150.94,1
50108,16,Mobile Phone,3,15,Credit Card,Female,2,4,Laptop & Accessory,5,Single,3,0,24,2,4,8,177.89,0
50109,3,Mobile Phone,2,17,Debit Card,Female,2,3,Mobile Phone,2,Married,2,0,11,1,5,2,130.66,0
50110,0,Mobile Phone,2,23,E Wallet,Female,4,3,Laptop & Accessory,4,Married,5,0,15,0,2,9,121.14,1
50111,4,Mobile Phone,3,20,Debit Card,Female,3,1,Mobile Phone,1,Single,5,1,18,2,5,6,146.46,0
50112,2,Mobile Phone,3,15,COD,Male,2,2,Mobile Phone,1,Single,1,1,18,1,2,8,110.73,1
50113,31,Computer,2,11,UPI,Male,3,3,Fashion,3,Single,7,0,21,2,5,4,203.39,0
50114,19,Mobile Phone,3,33,Debit Card,Male,4,3,Laptop & Accessory,1,Single,1,0,23,3,4,6,175.67,0
50115,12,Mobile Phone,2,11,Credit Card,Female,1,1,Mobile Phone,5,Single,3,0,24,2,3,5,179.47,0
50116,24,Mobile Phone,2,9,E Wallet,Female,3,3,Fashion,3,Married,4,0,18,0,2,16,178.31,1
50117,19,Mobile Phone,1,12,UPI,Male,2,1,Laptop & Accessory,3,Married,2,0,15,1,2,4,139.41,0
50118,2,Computer,2,8,E Wallet,Female,4,4,Laptop & Accessory,2,Married,3,0,11,2,4,0,129.03,1
50119,26,Mobile Phone,1,17,COD,Male,2,3,Fashion,2,Married,10,0,13,1,3,7,210.34,0
50120,9,Computer,1,15,Credit Card,Female,1,3,Others,1,Married,2,0,18,3,5,5,143.46,1
50121,19,Mobile Phone,2,14,Debit Card,Female,5,3,Others,3,Single,4,0,17,2,3,0,180.8,0
50122,27,Mobile Phone,3,14,Credit Card,Male,3,5,Fashion,2,Divorced,4,0,23,0,4,8,229.81,0
50123,4,Computer,3,12,E Wallet,Female,4,5,Mobile Phone,2,Single,7,0,13,4,7,19,163.81,1
50124,1,Computer,2,7,Debit Card,Male,3,4,Fashion,2,Divorced,1,0,15,1,5,8,130.65,1
50125,3,Mobile Phone,2,22,Debit Card,Male,3,2,Grocery,2,Married,2,1,26,3,4,3,117.71,1
50126,6,Computer,1,12,UPI,Male,4,2,Laptop & Accessory,5,Single,4,0,21,3,4,12,121.09,0
50127,20,Mobile Phone,2,9,E Wallet,Male,5,2,Fashion,3,Divorced,5,0,20,3,5,7,200.17,0
50128,23,Computer,1,8,Debit Card,Female,3,4,Fashion,3,Married,4,1,16,1,5,3,186.91,0
50129,0,Computer,1,25,UPI,Female,4,3,Laptop & Accessory,4,Married,1,0,24,4,8,10,142.46,1
50130,8,Computer,2,13,Debit Card,Female,4,4,Grocery,2,Divorced,2,0,19,2,6,16,157.04,0
50131,6,Phone,1,13,Debit Card,Male,3,2,Laptop & Accessory,4,Married,2,0,20,2,4,11,120.95,0
50132,3,Mobile Phone,1,18,Credit Card,Male,4,2,Others,2,Married,4,0,21,3,6,5,177.6,0
50133,1,Computer,3,12,UPI,Female,2,3,Mobile Phone,4,Married,5,0,11,1,3,8,103.57,0
50134,4,Mobile Phone,1,8,E Wallet,Female,4,3,Grocery,1,Married,3,0,19,0,4,11,90.73,0
50135,34,Mobile Phone,1,12,Credit Card,Male,2,3,Laptop & Accessory,4,Single,1,1,26,2,3,8,221.82,0
50136,4,Mobile Phone,1,16,Debit Card,Male,1,3,Fashion,3,Single,5,0,16,2,3,5,141.7,0
50137,8,Mobile Phone,1,11,E Wallet,Female,4,4,Laptop & Accessory,1,Single,2,1,14,0,1,6,130.42,1
50138,14,Computer,1,10,Credit Card,Male,4,3,Laptop & Accessory,3,Married,1,0,25,3,5,8,167.94,0
50139,5,Computer,3,10,COD,Male,2,2,Grocery,4,Single,3,1,12,3,7,7,154.65,1
50140,42,Computer,1,17,E Wallet,Female,3,2,Mobile Phone,2,Single,1,0,23,3,7,18,247.59,0
50141,39,Mobile Phone,3,16,Debit Card,Female,3,3,Fashion,5,Single,3,1,26,0,1,1,249.61,0
50142,3,Mobile Phone,1,18,E Wallet,Male,2,5,Grocery,2,Married,8,0,19,3,6,8,145.41,0
50143,8,Phone,2,14,Debit Card,Male,2,5,Mobile Phone,2,Single,3,0,15,6,8,15,155.37,1
50144,4,Mobile Phone,2,12,COD,Male,2,2,Fashion,4,Married,5,0,26,1,3,2,146.35,0
50145,4,Computer,2,11,Debit Card,Female,3,1,Fashion,2,Divorced,5,0,16,2,5,10,147.69,1
50146,0,Computer,2,13,Debit Card,Female,3,3,Laptop & Accessory,5,Single,1,0,12,1,5,9,152.79,0
50147,11,Computer,3,8,Credit Card,Female,2,3,Laptop & Accessory,3,Married,4,1,14,1,5,2,189.16,1
50148,8,Mobile Phone,1,17,Debit Card,Male,4,2,Fashion,4,Married,3,0,11,2,5,2,140.36,0
50149,0,Computer,2,12,Credit Card,Female,3,3,Others,1,Married,1,1,22,3,4,5,140.12,0
50150,3,Mobile Phone,3,23,Credit Card,Male,4,2,Fashion,4,Married,1,1,18,2,4,2,136.17,0
50151,28,Computer,1,14,Credit Card,Female,3,3,Fashion,3,Married,1,0,25,1,5,7,223.44,0
50152,3,Mobile Phone,1,7,Credit Card,Female,3,4,Fashion,4,Divorced,3,0,16,3,5,5,149.11,0
50153,1,Mobile Phone,1,16,UPI,Female,2,3,Fashion,1,Divorced,1,0,22,1,5,11,132.07,1
50154,8,Mobile Phone,2,34,Credit Card,Male,2,3,Laptop & Accessory,3,Married,2,0,18,2,6,5,164.65,0
50155,50,Computer,1,17,COD,Female,2,5,Grocery,4,Divorced,1,0,13,3,4,2,236.55,0
50156,3,Mobile Phone,1,20,Debit Card,Male,3,2,Fashion,3,Single,1,1,14,2,6,19,175.78,1
50157,13,Mobile Phone,2,24,Debit Card,Male,3,3,Others,4,Single,10,0,17,1,2,3,151.19,0
50158,17,Mobile Phone,2,10,E Wallet,Female,4,2,Laptop & Accessory,5,Single,2,0,16,5,6,2,161.66,0
50159,3,Phone,1,14,Debit Card,Male,3,2,Laptop & Accessory,2,Married,3,0,25,2,6,6,128.29,0
50160,15,Computer,1,11,Credit Card,Female,2,3,Laptop & Accessory,1,Single,1,1,15,3,4,17,173.45,1
50161,5,Computer,2,19,COD,Male,4,1,Grocery,4,Married,1,0,14,4,8,4,157.5,0
50162,12,Computer,3,11,Credit Card,Female,3,3,Grocery,3,Married,3,0,21,2,3,21,154.16,0
50163,12,Mobile Phone,2,14,Credit Card,Female,2,1,Fashion,1,Divorced,2,1,12,1,3,6,159.8,0
50164,9,Mobile Phone,3,20,E Wallet,Female,2,3,Fashion,1,Single,3,0,18,3,4,3,170.85,1
50165,1,Phone,1,19,Debit Card,Male,2,2,Laptop & Accessory,2,Married,2,0,18,4,8,12,161.02,0
50166,21,Mobile Phone,1,16,Credit Card,Female,2,1,Mobile Phone,1,Single,3,0,17,0,4,2,194.45,0
50167,4,Mobile Phone,2,24,Debit Card,Male,4,4,Fashion,3,Single,6,0,11,1,3,6,123.89,0
50168,2,Mobile Phone,3,20,Debit Card,Male,3,3,Mobile Phone,3,Divorced,3,0,25,2,6,2,108.84,0
50169,0,Mobile Phone,2,12,Debit Card,Female,4,3,Fashion,1,Single,4,0,20,1,5,3,138.9,0
50170,10,Mobile Phone,3,9,COD,Female,4,3,Laptop & Accessory,2,Single,6,1,21,5,6,13,165.51,1
50171,13,Mobile Phone,3,10,Debit Card,Male,2,1,Mobile Phone,4,Divorced,4,0,25,1,3,3,170.92,0
50172,0,Mobile Phone,1,21,Credit Card,Female,3,3,Mobile Phone,4,Single,3,0,26,0,3,2,142.78,0
50173,8,Mobile Phone,1,17,Debit Card,Female,5,3,Others,1,Married,5,1,15,2,6,16,165.87,1
50174,3,Mobile Phone,1,24,Credit Card,Female,2,5,Mobile Phone,1,Married,4,0,19,2,6,6,153.52,0
50175,12,Mobile Phone,1,18,Credit Card,Male,1,4,Laptop & Accessory,5,Single,3,1,23,5,8,6,183.61,0
50176,2,Mobile Phone,1,20,Credit Card,Female,2,1,Laptop & Accessory,3,Married,2,0,26,2,5,6,153.27,1
50177,14,Computer,3,17,E Wallet,Female,3,2,Laptop & Accessory,4,Married,1,1,20,0,1,11,168.13,0
50178,5,Mobile Phone,1,11,COD,Female,1,1,Fashion,3,Married,2,0,11,2,3,6,143.56,0
50179,33,Computer,1,11,Credit Card,Male,3,2,Fashion,3,Married,5,0,23,0,1,8,196.16,0
50180,1,Computer,1,10,Debit Card,Female,2,3,Others,3,Married,3,0,16,2,5,6,128.78,0
50181,5,Computer,3,11,UPI,Male,2,2,Fashion,2,Divorced,1,0,19,0,1,3,162.92,0
50182,1,Mobile Phone,2,25,COD,Male,2,3,Fashion,4,Married,2,1,20,3,6,7,149.34,1
50183,31,Mobile Phone,3,19,Credit Card,Male,2,1,Fashion,3,Married,3,0,26,4,8,4,234.98,0
50184,25,Mobile Phone,3,14,Credit Card,Female,1,4,Others,5,Married,2,1,15,1,5,8,190.96,0
50185,3,Computer,2,17,Debit Card,Female,3,3,Mobile Phone,1,Single,1,0,26,3,5,9,110.4,0
50186,12,Mobile Phone,1,17,Credit Card,Female,4,5,Fashion,5,Married,3,0,17,0,1,8,164.68,0
50187,20,Computer,1,25,Credit Card,Female,4,5,Others,5,Married,1,0,16,0,4,4,176.36,0
50188,9,Computer,1,13,COD,Female,4,3,Laptop & Accessory,1,Married,1,1,19,0,2,4,158.73,0
50189,9,Mobile Phone,3,16,Debit Card,Male,3,2,Laptop & Accessory,2,Single,4,1,11,1,3,4,148.85,1
50190,3,Mobile Phone,1,20,Credit Card,Male,5,2,Fashion,1,Single,3,1,23,0,4,5,141.29,1
50191,1,Computer,1,11,E Wallet,Male,5,2,Mobile Phone,2,Married,1,0,20,2,4,15,149.06,0
50192,27,Mobile Phone,2,26,Credit Card,Male,4,3,Laptop & Accessory,3,Married,3,0,21,2,5,10,196.34,0
50193,27,Mobile Phone,2,20,Credit Card,Male,3,3,Fashion,2,Married,1,1,11,2,6,6,203.16,0
50194,12,Computer,2,10,COD,Female,2,3,Mobile Phone,5,Single,2,0,15,1,3,5,137.22,0
50195,4,Mobile Phone,1,31,Credit Card,Male,1,1,Mobile Phone,5,Single,1,0,23,0,1,11,145.7,0
50196,5,Phone,3,24,COD,Female,1,3,Mobile Phone,1,Married,2,1,18,1,2,4,110.51,0
50197,15,Computer,2,19,Debit Card,Male,3,1,Laptop & Accessory,3,Single,1,0,24,2,5,13,158.46,1
50198,27,Computer,1,7,Debit Card,Male,1,4,Fashion,1,Single,8,0,15,5,7,1,203.1,1
50199,26,Mobile Phone,3,12,COD,Male,4,1,Mobile Phone,3,Divorced,1,0,21,3,6,13,159.56,0
50200,18,Mobile Phone,3,16,Debit Card,Female,2,3,Fashion,2,Single,7,1,14,1,3,14,153.37,1
50201,12,Mobile Phone,1,16,E Wallet,Female,2,3,Laptop & Accessory,4,Single,3,1,24,2,3,1,177.14,1
50202,1,Mobile Phone,1,15,Credit Card,Male,3,3,Laptop & Accessory,5,Married,1,0,15,3,6,10,140.05,0
50203,2,Mobile Phone,2,9,Credit Card,Male,3,1,Laptop & Accessory,3,Divorced,5,1,25,2,3,2,125.8,0
50204,27,Mobile Phone,1,13,E Wallet,Male,2,5,Mobile Phone,5,Divorced,2,0,18,0,3,12,173.56,0
50205,11,Mobile Phone,3,14,E Wallet,Female,2,3,Grocery,5,Married,1,0,13,3,7,4,173.49,0
50206,0,Mobile Phone,1,7,COD,Male,3,3,Laptop & Accessory,1,Married,2,0,14,3,6,2,155.53,1
50207,1,Computer,3,19,Debit Card,Male,4,2,Grocery,3,Divorced,2,1,21,4,6,1,125.73,0
50208,13,Mobile Phone,2,28,E Wallet,Female,3,4,Laptop & Accessory,2,Married,3,0,15,1,5,6,147.8,0
50209,0,Mobile Phone,2,14,Credit Card,Male,3,1,Fashion,2,Single,8,0,19,3,5,0,102.55,1
50210,2,Computer,1,19,E Wallet,Female,4,2,Grocery,4,Married,1,0,15,3,7,10,165.52,1
50211,9,Phone,1,10,Debit Card,Male,3,3,Grocery,2,Married,2,0,25,4,6,9,172.09,0
50212,14,Mobile Phone,1,17,Credit Card,Male,1,5,Fashion,3,Married,7,0,25,1,2,12,192.63,0
50213,12,Mobile Phone,1,17,Debit Card,Male,2,1,Laptop & Accessory,1,Married,2,0,17,4,7,6,178.24,0
50214,3,Computer,1,23,Credit Card,Female,4,1,Mobile Phone,3,Married,2,0,16,3,4,3,135.35,0
50215,14,Phone,3,25,E Wallet,Male,5,4,Laptop & Accessory,1,Divorced,10,0,21,0,1,1,161.57,0
50216,3,Computer,1,19,Debit Card,Male,3,4,Mobile Phone,5,Divorced,4,1,15,1,3,1,142.82,0
50217,4,Computer,3,11,E Wallet,Male,3,4,Mobile Phone,4,Married,2,1,12,1,5,1,128.93,1
50218,16,Mobile Phone,2,11,Credit Card,Female,1,3,Fashion,2,Single,2,0,24,0,2,10,150.44,0
50219,12,Mobile Phone,3,25,Debit Card,Male,3,3,Fashion,1,Married,3,0,21,2,4,12,147.21,1
50220,22,Mobile Phone,3,8,Credit Card,Female,2,3,Mobile Phone,1,Single,2,1,16,1,3,24,184.13,1
50221,12,Computer,1,9,UPI,Female,2,3,Fashion,2,Married,1,0,25,0,2,4,137.78,0
50222,10,Computer,3,12,COD,Female,2,5,Laptop & Accessory,3,Married,1,1,21,2,6,14,183.37,1
50223,1,Phone,2,18,Credit Card,Male,3,3,Grocery,4,Married,3,1,18,1,4,15,157.32,0
50224,5,Mobile Phone,3,27,Debit Card,Female,3,1,Laptop & Accessory,1,Married,2,1,23,3,4,2,132.81,0
50225,3,Mobile Phone,2,28,Debit Card,Male,2,2,Mobile Phone,4,Single,7,0,18,2,3,4,137.75,1
50226,3,Mobile Phone,2,6,E Wallet,Male,3,5,Grocery,3,Single,4,0,26,2,6,25,159.94,1
50227,43,Computer,1,17,E Wallet,Male,4,3,Mobile Phone,3,Single,8,0,13,0,1,6,237.12,0
50228,5,Computer,1,15,Debit Card,Male,4,2,Fashion,5,Married,5,0,13,4,8,3,157.85,0
50229,26,Mobile Phone,2,11,Credit Card,Male,3,2,Mobile Phone,5,Single,2,0,13,0,4,6,206.92,0
50230,11,Mobile Phone,3,6,UPI,Male,3,1,Grocery,4,Married,4,0,26,0,3,13,169.4,0
50231,19,Mobile Phone,3,15,Credit Card,Female,4,3,Others,4,Married,3,0,15,4,7,12,196.07,1
50232,8,Mobile Phone,1,9,E Wallet,Female,4,4,Grocery,4,Married,3,0,15,5,8,10,156.85,0
50233,10,Computer,3,18,Debit Card,Female,3,3,Laptop & Accessory,4,Single,3,0,15,1,3,3,165.45,0
50234,8,Mobile Phone,3,15,E Wallet,Male,2,4,Laptop & Accessory,1,Married,4,0,18,2,5,12,162.52,0
50235,2,Computer,1,7,Credit Card,Male,4,4,Mobile Phone,5,Single,2,1,16,3,5,4,142.6,1
