Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,Complain,OrderAmountHikeFromlastYear,DaySinceLastOrder,CashBackAmount,CityTier,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus
13,16,3,4,2,0,25,11,156.43,1,Credit Card,Male,Mobile Phone,Married
2,13,3,4,2,1,24,2,140.36,1,UPI,Female,Mobile Phone,Single
3,9,3,3,1,0,23,21,127.04,3,Credit Card,Male,Grocery,Married
26,9,4,3,4,0,22,11,203.93,3,Credit Card,Female,Laptop & Accessory,Married
2,14,1,3,4,0,22,12,132.31,1,COD,Male,Grocery,Single
28,19,4,2,5,1,20,12,206.72,1,COD,Male,Laptop & Accessory,Married
8,8,3,3,4,0,20,6,149.53,1,E Wallet,Female,Laptop & Accessory,Married
3,19,4,2,5,0,12,14,133.71,3,Debit Card,Male,Laptop & Accessory,Married
11,16,1,3,2,0,12,7,147.76,3,Credit Card,Male,Fashion,Married
25,21,3,3,3,0,25,6,186.72,2,Debit Card,Female,Laptop & Accessory,Married
35,9,3,2,4,0,22,15,210.66,3,UPI,Male,Mobile Phone,Divorced
7,9,3,3,4,0,18,5,163.14,1,Debit Card,Male,Fashion,Single
2,16,4,2,4,0,13,6,109.77,1,Debit Card,Male,Mobile Phone,Married
12,20,3,3,1,0,21,5,155.04,1,UPI,Female,Others,Married
9,15,3,4,2,0,26,15,173.61,1,E Wallet,Female,Mobile Phone,Married
2,13,2,1,5,1,16,5,149.68,1,Debit Card,Male,Laptop & Accessory,Divorced
2,11,2,4,3,0,21,2,159.51,3,Debit Card,Male,Laptop & Accessory,Married
7,14,2,2,2,0,21,18,149.63,1,Credit Card,Male,Fashion,Single
6,24,1,1,2,0,13,10,168.56,2,E Wallet,Male,Fashion,Divorced
19,18,3,3,1,0,16,5,185.11,3,E Wallet,Male,Fashion,Single
23,16,3,2,4,0,12,10,196.97,1,Credit Card,Male,Laptop & Accessory,Married
2,12,2,3,2,0,14,3,139.38,1,COD,Female,Laptop & Accessory,Single
9,9,2,6,2,1,19,6,177.24,1,Debit Card,Female,Fashion,Single
12,21,2,2,2,1,22,7,158.07,2,COD,Male,Laptop & Accessory,Divorced
31,22,4,2,3,1,19,4,208.93,3,COD,Male,Mobile Phone,Divorced
3,9,2,3,5,0,19,3,152.15,3,E Wallet,Male,Mobile Phone,Married
17,23,2,2,2,0,14,2,174.69,3,Debit Card,Male,Fashion,Married
5,19,3,2,4,0,23,6,123.88,3,UPI,Male,Laptop & Accessory,Married
5,26,3,1,1,0,14,8,134.28,2,Debit Card,Female,Mobile Phone,Married
7,29,2,1,4,1,16,10,153.03,1,Credit Card,Female,Laptop & Accessory,Married
8,15,3,1,1,0,15,6,118.13,1,Debit Card,Male,Grocery,Single
2,18,4,3,3,0,23,7,151.7,1,Debit Card,Male,Grocery,Married
8,37,3,4,2,0,26,1,146.08,3,Debit Card,Male,Grocery,Divorced
10,13,2,3,3,0,21,9,140.96,2,Credit Card,Male,Mobile Phone,Single
1,14,3,4,3,0,18,3,103.86,2,Debit Card,Female,Mobile Phone,Married
4,14,3,3,4,0,11,3,148.33,1,Credit Card,Female,Fashion,Married
3,12,3,3,3,0,23,0,138.09,3,Credit Card,Female,Mobile Phone,Single
4,25,1,3,3,0,19,2,163.65,3,Credit Card,Female,Others,Single
47,12,4,3,1,0,11,7,245.39,3,E Wallet,Female,Fashion,Single
6,17,3,3,1,0,16,1,124.9,1,E Wallet,Male,Grocery,Married
61,23,4,5,4,0,18,6,267.14,3,UPI,Female,Fashion,Married
25,15,4,3,3,0,26,28,184.12,3,Debit Card,Male,Mobile Phone,Married
0,15,3,1,2,1,11,13,144.89,2,Credit Card,Female,Fashion,Married
11,22,3,1,3,0,17,3,143.68,3,Credit Card,Female,Laptop & Accessory,Married
1,14,2,4,2,0,25,1,155.88,3,COD,Female,Laptop & Accessory,Single
5,9,3,2,3,0,15,3,157.22,1,Debit Card,Male,Laptop & Accessory,Single
9,21,5,2,2,1,16,8,154.54,3,Credit Card,Male,Fashion,Married
0,16,4,3,2,0,24,2,150.99,3,Debit Card,Female,Fashion,Married
3,30,3,2,1,0,22,4,123.37,1,E Wallet,Female,Laptop & Accessory,Married
10,10,4,3,3,1,25,4,144.16,2,E Wallet,Female,Fashion,Married
1,17,2,4,3,1,11,3,153.19,1,E Wallet,Male,Mobile Phone,Married
18,15,2,3,3,0,19,15,180.68,1,Debit Card,Female,Laptop & Accessory,Divorced
22,18,4,4,3,1,25,8,212.83,1,Debit Card,Female,Grocery,Single
5,11,3,2,4,0,17,16,159.3,1,E Wallet,Female,Mobile Phone,Single
2,20,3,3,3,0,16,5,138.59,3,Debit Card,Male,Laptop & Accessory,Married
32,11,1,2,5,0,17,23,196.45,1,Debit Card,Female,Mobile Phone,Single
1,10,3,4,5,1,25,7,130.15,3,E Wallet,Female,Fashion,Married
11,14,1,3,2,0,16,3,131.3,2,Debit Card,Male,Fashion,Married
4,12,2,2,2,1,17,2,98.58,3,Credit Card,Male,Fashion,Married
23,22,2,3,3,0,13,6,179.83,1,Credit Card,Male,Fashion,Married
3,25,3,2,3,0,17,8,142.22,2,Debit Card,Female,Laptop & Accessory,Single
12,12,3,3,1,0,21,4,185.72,3,Credit Card,Female,Mobile Phone,Divorced
16,12,4,6,5,0,21,2,151.98,2,Credit Card,Male,Laptop & Accessory,Divorced
6,39,4,3,3,0,13,1,171.94,3,Credit Card,Male,Mobile Phone,Single
31,37,3,3,5,0,12,4,209.53,3,Credit Card,Male,Laptop & Accessory,Married
3,20,2,3,2,1,13,2,135.12,3,Debit Card,Female,Fashion,Married
1,25,2,1,1,1,15,11,141.1,1,E Wallet,Female,Grocery,Divorced
12,14,3,1,5,0,11,35,133.85,2,Debit Card,Female,Others,Married
23,17,1,3,5,0,23,7,161.73,1,UPI,Female,Laptop & Accessory,Married
16,16,3,1,3,0,13,1,144.81,1,Credit Card,Female,Fashion,Divorced
11,13,2,1,5,1,21,2,134.24,2,Credit Card,Male,Laptop & Accessory,Married
4,26,3,3,3,0,11,4,153.05,1,E Wallet,Male,Laptop & Accessory,Married
10,14,2,5,5,0,19,8,162.56,3,Credit Card,Male,Laptop & Accessory,Divorced
16,25,4,2,2,0,21,7,156.24,3,Debit Card,Male,Laptop & Accessory,Divorced
14,21,2,4,2,0,13,6,199.24,2,E Wallet,Male,Grocery,Single
12,16,4,4,2,0,16,9,158.88,2,E Wallet,Male,Laptop & Accessory,Single
11,26,2,4,4,0,26,10,165.11,2,Credit Card,Female,Mobile Phone,Married
17,8,3,6,3,0,19,27,193.59,3,Debit Card,Male,Others,Divorced
6,14,3,3,3,0,13,2,168.16,1,E Wallet,Male,Laptop & Accessory,Single
9,11,3,2,3,0,25,9,155.79,2,Credit Card,Female,Fashion,Single
17,47,3,4,2,0,17,3,173.56,3,Credit Card,Female,Laptop & Accessory,Single
0,14,3,2,1,0,26,8,114.39,2,Debit Card,Male,Mobile Phone,Divorced
17,40,3,2,1,1,12,10,169.89,2,COD,Male,Fashion,Married
19,13,3,5,3,1,14,5,203.27,1,Debit Card,Male,Mobile Phone,Single
4,10,2,3,1,0,15,2,147.69,1,Credit Card,Female,Fashion,Single
6,19,2,4,2,0,21,5,146.15,1,Credit Card,Male,Laptop & Accessory,Single
20,26,3,2,1,1,26,9,180.32,1,Credit Card,Female,Laptop & Accessory,Married
28,32,3,4,4,1,20,1,172.84,2,COD,Female,Mobile Phone,Single
33,20,3,3,4,1,11,19,232.04,1,Credit Card,Male,Mobile Phone,Married
37,13,3,4,4,1,16,16,223.45,3,COD,Male,Fashion,Single
0,22,3,2,3,1,24,13,115.82,1,Credit Card,Male,Fashion,Married
1,19,4,3,3,0,12,2,120.44,1,E Wallet,Female,Laptop & Accessory,Single
28,13,2,5,1,1,25,5,192.18,1,E Wallet,Female,Mobile Phone,Single
10,38,2,4,4,0,26,32,185.67,2,Credit Card,Male,Grocery,Married
19,14,3,3,2,1,22,5,178.88,1,Debit Card,Female,Grocery,Married
2,12,3,4,3,0,22,4,142.98,1,Credit Card,Male,Mobile Phone,Single
28,16,3,1,5,0,19,8,209.2,2,E Wallet,Male,Grocery,Married
3,7,2,3,3,1,26,5,136.27,1,Credit Card,Female,Laptop & Accessory,Married
10,18,4,2,3,1,23,14,145.93,2,UPI,Female,Laptop & Accessory,Married
9,9,2,5,3,0,17,3,124.78,1,Credit Card,Female,Fashion,Married
41,14,4,3,3,0,26,3,225.95,3,Debit Card,Female,Others,Married
4,15,3,2,4,1,11,5,162.82,2,Debit Card,Female,Laptop & Accessory,Married
3,34,4,2,3,1,11,18,113.52,1,E Wallet,Female,Mobile Phone,Divorced
16,16,3,4,4,0,15,19,188.43,2,Debit Card,Female,Fashion,Divorced
13,18,3,3,3,0,11,10,192.15,1,E Wallet,Male,Mobile Phone,Married
39,14,2,2,1,0,18,6,249.41,2,Credit Card,Male,Laptop & Accessory,Married
25,13,2,4,2,0,11,1,209.99,3,Debit Card,Female,Others,Married
15,26,3,3,5,0,22,0,184.44,1,Credit Card,Male,Mobile Phone,Married
12,14,2,1,1,1,12,6,159.8,2,Credit Card,Female,Fashion,Divorced
21,26,3,1,5,0,25,17,212.13,2,Credit Card,Male,Laptop & Accessory,Divorced
0,20,2,2,4,0,18,10,112.7,2,Debit Card,Female,Others,Married
12,30,3,2,4,0,14,5,156.18,3,E Wallet,Female,Laptop & Accessory,Married
8,24,3,3,1,0,15,5,154.2,1,UPI,Female,Mobile Phone,Single
18,19,4,3,1,0,11,3,210.52,2,UPI,Female,Grocery,Married
2,15,2,4,3,1,19,23,113.15,3,Debit Card,Male,Mobile Phone,Married
19,12,2,2,1,0,19,2,138.52,3,COD,Male,Grocery,Single
28,15,4,3,3,0,21,24,222.72,3,Credit Card,Female,Laptop & Accessory,Married
13,14,5,2,4,0,20,18,158.74,1,E Wallet,Male,Laptop & Accessory,Single
23,16,4,2,5,1,12,2,212.28,1,E Wallet,Male,Laptop & Accessory,Married
0,20,2,2,3,0,16,6,129.9,1,COD,Female,Laptop & Accessory,Single
7,15,2,3,4,1,11,19,160.05,1,Credit Card,Female,Fashion,Single
12,8,2,4,2,0,18,3,146.16,1,UPI,Male,Fashion,Married
3,12,4,3,5,1,21,4,113.06,3,UPI,Female,Laptop & Accessory,Single
0,33,3,3,4,0,15,1,134.93,3,E Wallet,Male,Mobile Phone,Single
3,53,4,3,1,0,13,13,125.07,2,E Wallet,Female,Grocery,Single
0,6,2,4,3,1,14,9,126.07,3,Credit Card,Female,Fashion,Single
13,14,2,3,3,1,22,5,180.87,3,Debit Card,Male,Laptop & Accessory,Married
3,19,3,1,1,1,19,2,151.21,1,Credit Card,Male,Grocery,Single
61,16,2,2,2,0,17,6,289.76,3,Debit Card,Male,Laptop & Accessory,Married
4,17,4,3,3,1,13,0,135.34,3,Credit Card,Male,Others,Married
2,12,3,2,3,1,23,4,136.7,2,COD,Female,Mobile Phone,Married
0,19,2,1,2,0,18,8,124.21,3,E Wallet,Male,Mobile Phone,Married
7,15,4,3,1,1,26,4,147.45,2,Credit Card,Male,Mobile Phone,Married
27,23,3,3,3,0,18,7,205.42,3,Debit Card,Male,Others,Married
5,13,3,4,2,0,25,0,128.59,3,E Wallet,Male,Laptop & Accessory,Married
1,14,4,2,3,0,19,12,124.12,1,E Wallet,Female,Fashion,Married
1,7,3,3,3,1,18,13,161.8,3,Credit Card,Male,Fashion,Married
13,9,3,3,2,0,22,16,159.48,1,Credit Card,Male,Mobile Phone,Married
9,19,2,6,1,0,22,4,137.5,2,E Wallet,Male,Others,Single
0,10,4,3,3,1,12,4,156.33,2,Credit Card,Female,Fashion,Married
6,17,3,3,2,0,15,7,148.67,2,Credit Card,Male,Fashion,Married
7,15,3,4,3,0,13,7,171.98,2,Credit Card,Female,Fashion,Married
11,16,1,1,3,0,20,4,174.45,1,E Wallet,Male,Mobile Phone,Single
3,8,3,5,3,0,26,16,127.84,1,Credit Card,Female,Grocery,Single
8,15,2,4,3,1,24,7,165.72,1,Credit Card,Male,Fashion,Married
5,15,2,4,1,0,22,4,170.71,1,Debit Card,Female,Fashion,Single
18,15,1,3,4,0,24,14,183.96,2,UPI,Male,Fashion,Married
2,11,3,3,3,1,11,7,138.24,2,Credit Card,Male,Mobile Phone,Single
10,25,3,3,1,1,19,7,141.0,3,Debit Card,Female,Laptop & Accessory,Married
24,7,2,3,3,0,12,4,179.98,2,Credit Card,Female,Fashion,Divorced
1,10,4,4,2,1,20,6,131.54,2,COD,Male,Mobile Phone,Single
18,7,4,3,4,0,11,2,181.27,1,UPI,Female,Fashion,Married
3,19,3,3,3,1,20,12,111.02,2,Debit Card,Male,Fashion,Married
12,14,4,1,1,1,23,4,187.02,2,E Wallet,Female,Mobile Phone,Married
4,15,3,4,2,0,16,18,142.66,3,Credit Card,Female,Grocery,Single
12,12,2,3,4,0,14,10,149.53,2,Credit Card,Female,Mobile Phone,Married
3,29,1,3,2,1,19,2,137.06,1,Credit Card,Male,Fashion,Married
18,24,4,3,2,1,14,7,182.55,3,E Wallet,Male,Others,Single
61,11,4,5,4,0,15,1,269.43,3,Debit Card,Male,Others,Married
19,33,1,4,3,0,14,2,189.71,3,Credit Card,Male,Grocery,Divorced
6,20,1,2,3,0,13,6,108.12,2,Credit Card,Female,Laptop & Accessory,Single
59,7,4,2,2,0,17,6,276.45,3,Debit Card,Female,Laptop & Accessory,Single
61,17,5,2,3,0,18,11,263.78,3,Debit Card,Male,Fashion,Single
11,17,3,4,5,0,21,23,146.88,2,Credit Card,Male,Laptop & Accessory,Married
36,14,2,3,3,0,22,2,232.96,1,Debit Card,Male,Laptop & Accessory,Married
3,31,2,3,4,0,18,5,130.14,1,UPI,Female,Mobile Phone,Married
6,15,3,3,4,0,25,13,125.45,2,UPI,Male,Mobile Phone,Married
12,19,2,4,2,1,15,2,166.26,2,Debit Card,Female,Fashion,Married
12,10,4,4,2,1,26,7,187.74,1,E Wallet,Male,Laptop & Accessory,Single
2,22,4,2,5,0,17,9,174.54,3,Debit Card,Female,Mobile Phone,Married
2,19,4,2,1,0,11,7,160.2,1,Credit Card,Male,Laptop & Accessory,Married
12,13,3,2,1,0,21,4,170.93,1,Credit Card,Female,Grocery,Divorced
10,10,1,3,3,0,21,5,174.06,3,UPI,Male,Mobile Phone,Married
10,27,2,4,2,1,19,2,165.34,3,UPI,Male,Others,Single
8,9,3,6,4,1,16,4,150.04,1,UPI,Female,Grocery,Single
0,11,2,3,2,0,24,1,145.5,3,Debit Card,Male,Fashion,Divorced
7,9,3,3,1,0,14,13,146.17,1,Debit Card,Male,Laptop & Accessory,Married
3,10,3,3,5,0,21,8,134.04,1,Credit Card,Male,Fashion,Married
10,9,3,2,5,0,26,2,168.66,3,E Wallet,Male,Fashion,Married
1,44,4,3,5,0,25,6,147.29,1,Debit Card,Male,Fashion,Married
8,12,5,1,1,0,18,21,160.34,3,Debit Card,Male,Mobile Phone,Married
4,19,4,1,3,0,20,17,151.82,2,Credit Card,Female,Laptop & Accessory,Single
18,14,2,5,3,0,25,20,197.6,1,Debit Card,Female,Mobile Phone,Married
2,9,3,2,2,0,23,0,125.5,3,COD,Female,Mobile Phone,Married
0,26,3,3,3,1,23,10,105.97,3,E Wallet,Female,Others,Single
21,26,2,1,1,1,13,2,186.92,3,Credit Card,Male,Mobile Phone,Single
9,21,4,3,5,0,15,19,161.23,3,COD,Male,Grocery,Single
29,23,4,3,3,1,24,6,202.01,2,E Wallet,Male,Laptop & Accessory,Single
49,15,1,2,2,1,15,4,268.93,1,Credit Card,Male,Mobile Phone,Divorced
1,7,3,2,3,0,18,6,121.25,1,E Wallet,Female,Mobile Phone,Divorced
4,12,3,3,3,0,13,6,154.97,2,Credit Card,Male,Laptop & Accessory,Married
2,15,2,1,5,1,24,3,164.92,1,UPI,Female,Mobile Phone,Single
6,33,2,3,3,0,16,9,156.56,1,E Wallet,Male,Laptop & Accessory,Divorced
0,13,2,3,4,0,22,6,173.16,1,Credit Card,Male,Laptop & Accessory,Single
1,39,3,2,3,0,21,9,118.54,1,Debit Card,Male,Fashion,Married
36,19,4,4,2,0,17,5,223.11,1,Debit Card,Male,Laptop & Accessory,Married
33,15,3,4,3,0,17,3,240.02,1,Debit Card,Male,Mobile Phone,Married
1,13,2,2,2,0,24,14,111.73,2,Credit Card,Male,Laptop & Accessory,Single
9,9,4,4,5,0,18,10,129.93,1,COD,Male,Mobile Phone,Married
5,12,2,3,1,0,18,3,129.28,1,COD,Male,Fashion,Single
10,15,3,3,5,0,18,3,158.42,3,Debit Card,Male,Laptop & Accessory,Single
44,10,4,1,2,0,21,13,245.54,3,Debit Card,Female,Laptop & Accessory,Single
61,12,4,4,4,1,18,4,280.07,2,Credit Card,Female,Laptop & Accessory,Single
1,13,3,2,5,1,15,8,128.91,1,Debit Card,Male,Mobile Phone,Single
56,18,2,3,2,0,11,14,286.98,2,Debit Card,Male,Mobile Phone,Single
4,14,3,2,3,1,26,3,148.67,2,Debit Card,Male,Mobile Phone,Divorced
25,15,4,3,1,0,16,21,202.03,1,COD,Female,Laptop & Accessory,Single
25,28,1,4,2,1,13,22,196.29,3,E Wallet,Male,Laptop & Accessory,Single
26,29,3,2,2,1,20,14,200.62,1,UPI,Female,Grocery,Married
30,15,1,1,5,1,17,3,213.9,3,Credit Card,Female,Fashion,Divorced
12,20,5,6,2,0,26,14,147.91,1,E Wallet,Male,Laptop & Accessory,Married
9,20,3,4,2,0,26,23,142.68,2,Credit Card,Female,Mobile Phone,Married
5,26,4,2,5,0,21,4,128.07,1,E Wallet,Male,Others,Single
19,29,2,4,3,1,20,18,167.36,3,E Wallet,Male,Fashion,Married
15,19,3,3,4,0,26,14,165.18,2,E Wallet,Male,Mobile Phone,Single
8,15,2,2,4,0,21,2,186.65,1,Debit Card,Female,Laptop & Accessory,Single
9,9,2,2,2,0,16,11,162.21,1,UPI,Female,Mobile Phone,Married
1,28,3,3,3,0,18,2,137.2,2,UPI,Male,Mobile Phone,Single
0,8,4,2,1,0,20,4,150.89,3,E Wallet,Male,Mobile Phone,Married
10,16,4,3,3,1,26,19,139.81,1,Debit Card,Male,Mobile Phone,Single
5,10,1,3,1,0,23,6,163.93,3,UPI,Male,Fashion,Single
4,10,2,2,1,0,20,2,122.51,3,COD,Male,Mobile Phone,Married
1,24,1,5,4,0,16,5,129.78,1,E Wallet,Male,Fashion,Married
1,38,2,3,5,0,22,8,134.62,3,Debit Card,Female,Mobile Phone,Married
4,18,2,3,4,0,16,8,134.12,2,UPI,Female,Others,Married
8,23,3,3,3,0,24,6,138.74,2,Credit Card,Female,Fashion,Single
5,22,2,4,4,0,15,3,152.68,2,Debit Card,Male,Grocery,Married
10,12,4,5,3,1,18,3,148.25,2,Credit Card,Male,Fashion,Single
5,32,4,4,2,0,11,5,139.35,1,UPI,Male,Laptop & Accessory,Single
8,10,3,3,4,0,25,7,155.64,2,E Wallet,Female,Others,Married
6,10,1,3,2,1,24,8,151.92,3,COD,Female,Fashion,Married
11,10,4,3,5,0,20,7,179.76,1,E Wallet,Female,Fashion,Married
8,10,2,2,2,0,14,2,177.27,3,Debit Card,Male,Grocery,Married
24,13,4,2,4,1,20,16,179.79,1,Credit Card,Male,Mobile Phone,Married
0,14,2,4,4,0,20,13,121.78,3,Credit Card,Female,Fashion,Married
37,20,1,1,5,1,14,3,226.32,2,Debit Card,Female,Laptop & Accessory,Single
14,18,2,1,4,0,14,6,165.71,1,UPI,Male,Laptop & Accessory,Single
13,16,2,1,5,0,22,4,164.94,1,Debit Card,Female,Fashion,Married
13,12,3,3,3,1,22,2,163.36,1,UPI,Male,Fashion,Married
3,18,2,4,5,0,21,5,134.24,1,Credit Card,Female,Fashion,Married
